Circonscription,B.P.,C.A.Q.-É.F.L.,C.C.,É.A.,O.N.,P.C.M.Q.,P.CO.Q.,P.Éq.,P.I.,P.L.Q./Q.L.P.,P.M.L.Q.,P.N.,P.Q.,P.U.N.,P.V.Q./G.P.Q.,Q.R.D.,Q.S.,U.C.Q./Q.C.U.,IND1,IND2,
RENÉ-LÉVESQUE,,Dereck Blouin-Perry,,,Maxime Cantin,,,,,Pascal Chouinard,,,Marjolain Dufour,,,,Julie Gonthier-Brazeau,,,,
REPENTIGNY,,Chantal Longpré,,,Anne-Marie Labrosse,,,,,Marc Thompson,,,Scott McKay,,,,Olivier Huard,,,,
RICHELIEU,,Jean-Bernard Émond,,,Michaël Rocheleau,,,,,Alain Plante,,,Élaine Zakaïb,,,,Marie-Ève Mathieu,,,,
RICHMOND,,Marie-Soleil Perron,Danielle Voisard,,Jean-Sébastien Lamothe,,,,,Karine Vallières,,,Etienne-Alexis Boucher,,Nick Fonda,,Colombe Landry,,,,
RIMOUSKI,,Jean-Paul Carrier,,,Pierre Beaudoin,,,,,Raymond Giguère,,Renaud Blais,Irvin Pelletier,,Clément Pelletier,,Rosalie Carrier Cyr,,,,
RIVIÈRE-DU-LOUP-TÉMISCOUATA,,Gaétan Lavoie,Sylvain Potvin,,Jonathan St-Pierre,,,,,Jean D'Amour,,,Michel Lagacé,,Nadia Pelletier,,Stacy Larouche,,,,
ROBERT-BALDWIN,,Toni Rinow,,,Sophie Turcot,,,,,Pierre Marsan,,,Alexandre Pagé-Chassé,,Mathieu Mireault,,Sarah Landry,Fredrick-Anthony Ghali,,,
ROBERVAL,,Alain Hamel,,,Catherine Douesnard,,,,,Georges Simard,,,Denis Trottier,,,,Olivier Bouchard-Lamontagne,,,,
ROSEMONT,Raynald St-Onge,Léo Fradette,Daniel Guersan,,Johanne Lavoie,,,,,Madwa-Nika Phanord-Cadet,Stéphane Chénier,,Jean-François Lisée,,,,François Saillant,,,,
ROUSSEAU,,Laurence R. Fortin,,,Gilles Chapdelaine,,,,André Matteau,Mario Racette,,,Nicolas Marceau,,,,François Lépine,,Robert Boucher,,
ROUYN-NORANDA-TÉMISCAMINGUE,,Bernard Flebus,,,Sébastien-L. Pageon,,,,,Melissa Turgeon,,,Gilles Chapadeau,,Robert Bertrand,,Guy Leclerc,,,,
SAINTE-MARIE-SAINT-JACQUES,,Cédrick Beauregard,,,Denis Monière,Louis Provencher,,,,Étienne Collins,Serge Lachapelle,,Daniel Breton,,,,Manon Massé,Edson Emilio,Jean-Marc Labrèche,Dimitri Mourkes,
SAINTE-ROSE,,François Gaudreau,,,Sylvain Fortin,,,,,Geneviève April,,,Suzanne Proulx,,,,Nicolas Chatel-Launay,,Ioan-Adrian Hancu,,
SAINT-FRANÇOIS,,Eric Giroux,,,Gaby Machabée,,,,,Nathalie Goguen,,,Réjean Hébert,Lionel Lambert,Lindsay-Jane Gowman,,André Poulin,,,,
SAINT-HENRI-SAINTE-ANNE,,Joakim Beaupré,,,Luc Lefebvre,,,,,Marguerite Blais,,,Sophie Stanké,Andrzej Jastrzebski,,,Nicolas Boisclair,,,,
SAINT-HYACINTHE,,Pierre Schetagne,,Alexandre Bruneau,Jérôme St-Amand,,Isabelle Leclerc,,,Louise Arpin,,,Émilien Pelletier,Lise Gaudette,,,Richard Gingras,Thomas Gagné,,,
SAINT-JEAN,,Yvan Berthelot,,,Félix Lemaire,,Carmyn Girard,,Yvon Sylva Aubé,Martin Massé,,,Dave Turcotte,,,,Carole Lusignan,François Mailly,,,
SAINT-JÉRÔME,,Jacques Duchesneau,,,Julien Benca,,,,,Marc Bustamante,,,Gilles Robert,,Olivier Adam,,Vincent Lemay-Thivierge,,,,
SAINT-LAURENT,,George Manolikakis,,,Maxime Bellerose,,,,,Jean-Marc Fournier,Fernand Deschamps,,Roger Gagnon,Brian Jenkins,Pierre Etienne Loignon,,Marie Josèphe Pigeon,,,,
SAINT-MAURICE,,Pierre Giguère,,,Nathalie Lortie,,,,,Robert Pilotte,,,Luc Trudel,Gilles Noël,,,Luc Lafrance,,Marie-Paule Bertrand,,
SANGUINET,,François Rebello,,,Keven Rousseau,,André Martel,,,Jocelyne Bates,Hélène Héroux,,Alain Therrien,,,,Frédéric Nadeau,,,,Martin Mc Neil
SHERBROOKE,,Philippe Girard,,,Évelyne Beaudin,,,,Christian Clavet,Jean Charest,,,Serge Cardin,,Suzanne Richer,,Christian Bibeau,,,,
SOULANGES,,Mario Gagnier,,,Frédéric Roy,,,,,Lucie Charlebois,,,André Bouthillier,,,,Andrée Bessette,,Patricia Domingos,,
TAILLON,,Pierre Cimoné,Marie-Noelle Mondoux-Lemoine,,Julien-Alexandre Bilodeau,,,,,Marie-Ève Pelletier,Normand Fournier,,Marie Malavoy,,Carole Mainville Bériault,,Manon Blanchard,,Robert Morin,,
TASCHEREAU,,Mario Asselin,François Tremblay,Guy Boivin,Catherine Dorion,,,,,Clément Gignac,,Jean-Luc Savard,Agnès Maltais,,,,Serge Roy,,,,
TERREBONNE,,Gaétan Barrette,Patrick Dubé,,Marc-André Dénommée,,,,,Josée Gingras,,,Mathieu Traversy,,Benoit Carignan,,Yan Smith,,,,
